                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2265,                 3.7528,                 1.7524,                0.46901,                0.21317,                0.18049,                0.08747,                 2.1747,                 2.8733,                 1.6183,              0.0033271,              0.0033271,              0.0033271
                      2,                 2.1296,                 2.8271,                 1.6495,                0.46663,                0.20775,                0.17039,                0.08033,                 2.2755,                 2.7954,                 1.6919,              0.0065939,              0.0065939,              0.0065939
                      3,                 2.2176,                 2.7452,                 1.7164,                0.36896,                0.12462,                0.08002,                0.03413,                 2.7276,                  3.564,                 2.0285,              0.0097941,              0.0097941,              0.0097941
                      4,                 2.2304,                 2.6225,                  1.729,                0.34493,                0.21306,                0.17449,                0.07745,                 2.3863,                 2.9346,                 1.7851,              0.0097003,              0.0097003,              0.0097003
                      5,                 2.1315,                 2.4456,                 1.6816,                0.40844,                0.22046,                0.19919,                 0.0945,                 2.2046,                 2.6273,                 1.7127,              0.0097003,              0.0097003,              0.0097003
                      6,                 2.0809,                 2.3576,                 1.6449,                0.45634,                0.24042,                0.23083,                0.11331,                 2.0973,                 2.4148,                 1.6462,              0.0096004,              0.0096004,              0.0096004
                      7,                 2.0471,                 2.2794,                 1.6109,                0.44094,                0.27752,                0.27213,                0.13458,                  2.065,                  2.316,                 1.5963,              0.0095005,              0.0095005,              0.0095005
                      8,                 2.0205,                 2.2337,                 1.5955,                0.48667,                0.26279,                0.27082,                0.13528,                 2.0347,                 2.3089,                 1.5715,              0.0094006,              0.0094006,              0.0094006
                      9,                 1.9909,                 2.1836,                 1.5781,                0.46503,                0.31744,                0.30829,                0.15521,                 1.9589,                 2.1172,                 1.5417,              0.0093007,              0.0093007,              0.0093007
                     10,                 1.9781,                 2.1488,                 1.5687,                0.50306,                0.35533,                0.34414,                0.17185,                 1.9357,                 2.0381,                  1.497,              0.0092008,              0.0092008,              0.0092008
                     11,                 1.9578,                 2.1182,                 1.5516,                0.48311,                0.33846,                0.33114,                0.17068,                 1.9226,                 2.0194,                 1.4821,              0.0091009,              0.0091009,              0.0091009
                     12,                 1.9392,                  2.087,                 1.5401,                 0.5525,                0.35346,                 0.3598,                0.18085,                 1.8942,                 1.9934,                  1.476,               0.009001,               0.009001,               0.009001
                     13,                 1.9369,                  2.062,                 1.5384,                0.50661,                0.36742,                0.35704,                0.18222,                 1.8778,                 1.9527,                 1.4605,              0.0089011,              0.0089011,              0.0089011
                     14,                 1.9169,                 2.0343,                 1.5252,                0.56544,                0.36253,                0.37076,                0.18955,                 1.8648,                 1.9522,                 1.4614,              0.0088012,              0.0088012,              0.0088012
                     15,                 1.9128,                 2.0196,                 1.5231,                0.41671,                0.39853,                0.38513,                 0.1974,                  1.835,                 1.8871,                 1.4514,              0.0087013,              0.0087013,              0.0087013
                     16,                 1.9037,                 2.0072,                 1.5116,                0.42625,                0.39406,                0.39658,                0.20458,                  1.835,                 1.8535,                 1.4339,              0.0086014,              0.0086014,              0.0086014
                     17,                  1.896,                  1.986,                 1.5099,                0.44521,                0.41311,                0.39505,                0.20497,                 1.8222,                 1.8481,                 1.4263,              0.0085015,              0.0085015,              0.0085015
                     18,                 1.8841,                 1.9689,                 1.5009,                0.41439,                0.40124,                  0.401,                0.21047,                 1.8188,                  1.831,                  1.419,              0.0084016,              0.0084016,              0.0084016
                     19,                 1.8857,                  1.958,                  1.494,                0.52497,                0.42317,                0.41636,                0.21714,                 1.7925,                 1.7971,                 1.4026,              0.0083017,              0.0083017,              0.0083017
                     20,                 1.8739,                 1.9445,                 1.4932,                0.50146,                0.42047,                0.42307,                0.21944,                  1.785,                 1.7806,                 1.3959,              0.0082018,              0.0082018,              0.0082018
                     21,                 1.8696,                 1.9325,                 1.4857,                0.47892,                0.44969,                0.42997,                0.22621,                 1.7813,                 1.7613,                 1.3938,              0.0081019,              0.0081019,              0.0081019
                     22,                 1.8623,                 1.9178,                 1.4804,                0.50005,                 0.4385,                0.44139,                0.23169,                 1.7725,                 1.7423,                 1.3918,               0.008002,               0.008002,               0.008002
                     23,                 1.8577,                 1.9066,                  1.478,                0.49095,                0.43834,                0.44777,                0.23334,                 1.7674,                 1.7352,                 1.3878,              0.0079021,              0.0079021,              0.0079021
                     24,                 1.8463,                 1.8889,                 1.4707,                0.49792,                0.46533,                0.46486,                0.24124,                 1.7576,                 1.7191,                 1.3816,              0.0078022,              0.0078022,              0.0078022
                     25,                 1.8442,                 1.8846,                 1.4707,                0.49043,                0.43794,                0.45745,                0.24241,                 1.7545,                 1.7139,                 1.3804,              0.0077023,              0.0077023,              0.0077023
                     26,                 1.8374,                 1.8712,                 1.4655,                0.50063,                0.45822,                0.46338,                 0.2458,                 1.7481,                 1.6956,                 1.3747,              0.0076024,              0.0076024,              0.0076024
                     27,                 1.8407,                 1.8636,                 1.4646,                0.50688,                 0.4543,                0.46294,                0.24598,                 1.7478,                 1.6888,                 1.3709,              0.0075025,              0.0075025,              0.0075025
